document file-resources\defaultState.txt
image file-resources\Map.jpg
imageSize-2414.7772047360004 2414.7772047360004
Plot-name:Asturias government:Asturias -Leon 
x 111 y 343
x 111 y 343
x 121 y 330
x 121 y 330
x 134 y 320
x 134 y 320
x 146 y 311
x 146 y 311
x 176 y 308
x 176 y 308
x 189 y 301
x 189 y 301
x 216 y 296
x 216 y 296
x 231 y 288
x 231 y 288
x 243 y 281
x 243 y 281
x 278 y 278
x 278 y 278
x 291 y 276
x 291 y 276
x 293 y 271
x 293 y 271
x 301 y 261
x 301 y 261
x 301 y 246
x 301 y 246
x 301 y 221
x 301 y 221
x 293 y 213
x 293 y 213
x 296 y 196
x 296 y 196
x 303 y 179
x 303 y 179
x 308 y 166
x 308 y 166
x 308 y 146
x 308 y 146
x 323 y 144
x 323 y 144
x 330 y 126
x 330 y 126
x 335 y 97
x 335 y 97
x 340 y 82
x 340 y 82
x 348 y 72
x 348 y 72
x 348 y 72
x 348 y 72
Plot-
x 159 y 311
x 159 y 311
x 159 y 323
x 159 y 323
x 146 y 338
x 146 y 338
x 129 y 350
x 129 y 350
x 136 y 350
x 136 y 350
x 149 y 350
x 149 y 350
x 136 y 363
x 136 y 363
x 141 y 368
x 141 y 368
x 154 y 365
x 154 y 365
x 171 y 363
x 171 y 363
x 154 y 380
x 154 y 380
x 144 y 393
x 144 y 393
x 141 y 400
x 141 y 400
x 161 y 395
x 161 y 395
x 186 y 380
x 186 y 380
x 166 y 395
x 166 y 395
x 149 y 415
x 149 y 415
x 144 y 427
x 144 y 427
x 141 y 447
x 141 y 447
x 136 y 487
x 136 y 487
x 154 y 472
x 154 y 472
x 171 y 460
x 171 y 460
x 186 y 445
x 186 y 445
x 216 y 437
x 216 y 437
x 236 y 430
x 236 y 430
x 258 y 423
x 258 y 423
x 251 y 413
x 251 y 413
x 243 y 400
x 243 y 400
x 231 y 385
x 231 y 385
x 228 y 373
x 228 y 373
x 231 y 355
x 231 y 355
x 243 y 350
x 243 y 350
x 266 y 343
x 266 y 343
x 283 y 343
x 283 y 343
x 301 y 340
x 301 y 340
x 303 y 330
x 303 y 330
x 308 y 308
x 308 y 308
x 296 y 306
x 296 y 306
x 288 y 301
x 288 y 301
x 288 y 276
x 288 y 276
x 271 y 281
x 271 y 281
x 258 y 281
x 258 y 281
x 243 y 281
x 243 y 281
x 228 y 288
x 228 y 288
x 216 y 296
x 216 y 296
x 201 y 296
x 201 y 296
x 191 y 301
x 191 y 301
x 184 y 308
x 184 y 308
x 171 y 308
x 171 y 308
x 159 y 311
x 159 y 311
x 159 y 311
x 159 y 311
Plot-
x 258 y 425
x 258 y 425
x 261 y 437
x 261 y 437
x 276 y 442
x 276 y 442
x 276 y 447
x 276 y 447
x 266 y 457
x 266 y 457
x 258 y 467
x 258 y 467
x 258 y 475
x 258 y 475
x 261 y 485
x 261 y 485
x 268 y 500
x 268 y 500
x 276 y 500
x 276 y 500
x 288 y 490
x 288 y 490
x 303 y 482
x 303 y 482
x 311 y 472
x 311 y 472
x 311 y 482
x 311 y 482
x 320 y 482
x 320 y 482
x 330 y 475
x 330 y 475
x 340 y 475
x 340 y 475
x 350 y 482
x 350 y 482
x 365 y 490
x 365 y 490
x 370 y 487
x 370 y 487
x 378 y 482
x 378 y 482
x 385 y 495
x 385 y 495
x 395 y 487
x 395 y 487
x 413 y 487
x 413 y 487
x 423 y 482
x 423 y 482
x 427 y 467
x 427 y 467
x 437 y 457
x 437 y 457
x 445 y 465
x 445 y 465
x 457 y 465
x 457 y 465
x 465 y 457
x 465 y 457
x 460 y 445
x 460 y 445
x 457 y 437
x 457 y 437
x 467 y 427
x 467 y 427
x 472 y 410
x 472 y 410
x 490 y 405
x 490 y 405
x 500 y 395
x 500 y 395
x 502 y 383
x 502 y 383
x 497 y 373
x 497 y 373
x 490 y 368
x 490 y 368
x 487 y 350
x 487 y 350
x 477 y 348
x 477 y 348
x 472 y 340
x 472 y 340
x 460 y 343
x 460 y 343
x 452 y 343
x 452 y 343
x 445 y 340
x 445 y 340
x 442 y 355
x 442 y 355
x 435 y 368
x 435 y 368
x 425 y 385
x 425 y 385
x 415 y 395
x 415 y 395
x 410 y 383
x 410 y 383
x 400 y 378
x 400 y 378
x 383 y 373
x 383 y 373
x 363 y 380
x 363 y 380
x 348 y 380
x 348 y 380
x 333 y 373
x 333 y 373
x 311 y 360
x 311 y 360
x 306 y 355
x 306 y 355
x 301 y 340
x 301 y 340
x 288 y 343
x 288 y 343
x 276 y 343
x 276 y 343
x 261 y 343
x 261 y 343
x 248 y 350
x 248 y 350
x 236 y 353
x 236 y 353
x 228 y 365
x 228 y 365
x 231 y 380
x 231 y 380
x 236 y 395
x 236 y 395
x 251 y 413
x 251 y 413
x 258 y 425
x 258 y 425
x 258 y 425
x 258 y 425
Plot-
x 826 y 191
x 826 y 191
x 816 y 201
x 816 y 201
x 828 y 216
x 828 y 216
x 841 y 228
x 841 y 228
x 863 y 231
x 863 y 231
x 875 y 221
x 875 y 221
x 893 y 221
x 893 y 221
x 900 y 236
x 900 y 236
x 913 y 243
x 913 y 243
x 920 y 243
x 920 y 243
x 920 y 258
x 920 y 258
x 933 y 271
x 933 y 271
x 943 y 281
x 943 y 281
x 950 y 288
x 950 y 288
x 960 y 276
x 960 y 276
x 965 y 283
x 965 y 283
x 977 y 281
x 977 y 281
x 980 y 278
x 980 y 278
x 992 y 276
x 992 y 276
x 992 y 266
x 992 y 266
x 982 y 261
x 982 y 261
x 982 y 246
x 982 y 246
x 972 y 251
x 972 y 251
x 965 y 251
x 965 y 251
x 965 y 236
x 965 y 236
x 977 y 228
x 977 y 228
x 995 y 218
x 995 y 218
x 1010 y 201
x 1010 y 201
x 1022 y 191
x 1022 y 191
x 1040 y 201
x 1040 y 201
x 1060 y 199
x 1060 y 199
x 1055 y 184
x 1055 y 184
x 1060 y 171
x 1060 y 171
x 1079 y 166
x 1079 y 166
x 1102 y 166
x 1102 y 166
x 1107 y 156
x 1107 y 156
x 1094 y 149
x 1094 y 149
x 1079 y 146
x 1079 y 146
x 1065 y 141
x 1065 y 141
x 1052 y 131
x 1052 y 131
x 1037 y 124
x 1037 y 124
x 1022 y 124
x 1022 y 124
x 1005 y 136
x 1005 y 136
x 992 y 144
x 992 y 144
x 997 y 129
x 997 y 129
x 990 y 126
x 990 y 126
x 975 y 131
x 975 y 131
x 950 y 141
x 950 y 141
x 925 y 144
x 925 y 144
x 895 y 146
x 895 y 146
x 873 y 146
x 873 y 146
x 873 y 161
x 873 y 161
x 868 y 166
x 868 y 166
x 855 y 166
x 855 y 166
x 833 y 184
x 833 y 184
x 821 y 191
x 821 y 191
x 821 y 191
x 821 y 191
Plot-name:Leon government:Leon -Asturias 
x 475 y 283
x 475 y 283
x 452 y 296
x 452 y 296
x 452 y 318
x 452 y 318
x 445 y 338
x 445 y 338
x 455 y 343
x 455 y 343
x 472 y 338
x 472 y 338
x 477 y 348
x 477 y 348
x 487 y 348
x 487 y 348
x 487 y 365
x 487 y 365
x 497 y 370
x 497 y 370
x 502 y 383
x 502 y 383
x 497 y 395
x 497 y 395
x 487 y 410
x 487 y 410
x 500 y 413
x 500 y 413
x 522 y 418
x 522 y 418
x 549 y 418
x 549 y 418
x 579 y 423
x 579 y 423
x 589 y 430
x 589 y 430
x 604 y 427
x 604 y 427
x 622 y 430
x 622 y 430
x 634 y 437
x 634 y 437
x 644 y 435
x 644 y 435
x 664 y 440
x 664 y 440
x 686 y 440
x 686 y 440
x 694 y 452
x 694 y 452
x 711 y 452
x 711 y 452
x 721 y 470
x 721 y 470
x 736 y 460
x 736 y 460
x 736 y 445
x 736 y 445
x 734 y 425
x 734 y 425
x 744 y 423
x 744 y 423
x 756 y 413
x 756 y 413
x 771 y 405
x 771 y 405
x 783 y 410
x 783 y 410
x 801 y 405
x 801 y 405
x 808 y 385
x 808 y 385
x 811 y 373
x 811 y 373
x 816 y 355
x 816 y 355
x 811 y 343
x 811 y 343
x 816 y 338
x 816 y 338
x 816 y 318
x 816 y 318
x 811 y 308
x 811 y 308
x 813 y 301
x 813 y 301
x 816 y 281
x 816 y 281
x 821 y 271
x 821 y 271
x 831 y 258
x 831 y 258
x 833 y 243
x 833 y 243
x 843 y 228
x 843 y 228
x 838 y 226
x 838 y 226
x 831 y 218
x 831 y 218
x 821 y 209
x 821 y 209
x 816 y 201
x 816 y 201
x 826 y 196
x 826 y 196
x 818 y 189
x 818 y 189
x 811 y 179
x 811 y 179
x 796 y 189
x 796 y 189
x 778 y 191
x 778 y 191
x 778 y 204
x 778 y 204
x 768 y 209
x 768 y 209
x 758 y 209
x 758 y 209
x 739 y 218
x 739 y 218
x 729 y 216
x 729 y 216
x 714 y 226
x 714 y 226
x 699 y 228
x 699 y 228
x 691 y 228
x 691 y 228
x 679 y 221
x 679 y 221
x 674 y 226
x 674 y 226
x 666 y 233
x 666 y 233
x 656 y 238
x 656 y 238
x 641 y 236
x 641 y 236
x 632 y 228
x 632 y 228
x 622 y 221
x 622 y 221
x 609 y 228
x 609 y 228
x 599 y 228
x 599 y 228
x 574 y 228
x 574 y 228
x 562 y 226
x 562 y 226
x 557 y 236
x 557 y 236
x 539 y 251
x 539 y 251
x 530 y 251
x 530 y 251
x 507 y 251
x 507 y 251
x 497 y 253
x 497 y 253
x 495 y 261
x 495 y 261
x 482 y 253
x 482 y 253
x 482 y 263
x 482 y 263
x 477 y 276
x 477 y 276
x 477 y 276
x 477 y 276
Plot-
x 950 y 291
x 950 y 291
x 950 y 301
x 950 y 301
x 938 y 303
x 938 y 303
x 923 y 308
x 923 y 308
x 920 y 335
x 920 y 335
x 925 y 350
x 925 y 350
x 930 y 353
x 930 y 353
x 918 y 363
x 918 y 363
x 910 y 370
x 910 y 370
x 920 y 380
x 920 y 380
x 925 y 393
x 925 y 393
x 933 y 410
x 933 y 410
x 933 y 430
x 933 y 430
x 948 y 435
x 948 y 435
x 960 y 427
x 960 y 427
x 953 y 440
x 953 y 440
x 960 y 452
x 960 y 452
x 977 y 452
x 977 y 452
x 967 y 465
x 967 y 465
x 982 y 467
x 982 y 467
x 977 y 482
x 977 y 482
x 962 y 490
x 962 y 490
x 955 y 500
x 955 y 500
x 935 y 500
x 935 y 500
x 923 y 500
x 923 y 500
x 920 y 515
x 920 y 515
x 905 y 507
x 905 y 507
x 890 y 515
x 890 y 515
x 885 y 515
x 885 y 515
x 885 y 500
x 885 y 500
x 870 y 500
x 870 y 500
x 863 y 495
x 863 y 495
x 855 y 487
x 855 y 487
x 843 y 490
x 843 y 490
x 833 y 500
x 833 y 500
x 826 y 490
x 826 y 490
x 816 y 482
x 816 y 482
x 796 y 482
x 796 y 482
x 801 y 470
x 801 y 470
x 808 y 452
x 808 y 452
x 811 y 435
x 811 y 435
x 791 y 430
x 791 y 430
x 796 y 418
x 796 y 418
x 798 y 405
x 798 y 405
x 808 y 395
x 808 y 395
x 811 y 378
x 811 y 378
x 816 y 355
x 816 y 355
x 816 y 350
x 816 y 350
x 813 y 340
x 813 y 340
x 816 y 338
x 816 y 338
x 818 y 318
x 818 y 318
x 811 y 308
x 811 y 308
x 816 y 283
x 816 y 283
x 821 y 271
x 821 y 271
x 831 y 261
x 831 y 261
x 843 y 231
x 843 y 231
x 860 y 231
x 860 y 231
x 868 y 231
x 868 y 231
x 875 y 226
x 875 y 226
x 893 y 226
x 893 y 226
x 900 y 236
x 900 y 236
x 913 y 246
x 913 y 246
x 920 y 246
x 920 y 246
x 920 y 261
x 920 y 261
x 930 y 271
x 930 y 271
x 943 y 281
x 943 y 281
x 953 y 291
x 953 y 291
x 953 y 291
x 953 y 291
Plot-
x 1089 y 166
x 1089 y 166
x 1102 y 166
x 1102 y 166
x 1112 y 154
x 1112 y 154
x 1119 y 159
x 1119 y 159
x 1137 y 159
x 1137 y 159
x 1137 y 144
x 1137 y 144
x 1147 y 136
x 1147 y 136
x 1159 y 141
x 1159 y 141
x 1176 y 134
x 1176 y 134
x 1181 y 144
x 1181 y 144
x 1194 y 146
x 1194 y 146
x 1206 y 149
x 1206 y 149
x 1224 y 159
x 1224 y 159
x 1229 y 166
x 1229 y 166
x 1221 y 184
x 1221 y 184
x 1216 y 196
x 1216 y 196
x 1214 y 216
x 1214 y 216
x 1204 y 221
x 1204 y 221
x 1191 y 233
x 1191 y 233
x 1174 y 231
x 1174 y 231
x 1152 y 228
x 1152 y 228
x 1142 y 218
x 1142 y 218
x 1137 y 209
x 1137 y 209
x 1139 y 196
x 1139 y 196
x 1129 y 189
x 1129 y 189
x 1119 y 201
x 1119 y 201
x 1107 y 201
x 1107 y 201
x 1102 y 196
x 1102 y 196
x 1089 y 189
x 1089 y 189
x 1077 y 196
x 1077 y 196
x 1065 y 199
x 1065 y 199
x 1057 y 189
x 1057 y 189
x 1057 y 184
x 1057 y 184
x 1069 y 171
x 1069 y 171
x 1082 y 166
x 1082 y 166
x 1094 y 166
x 1094 y 166
x 1094 y 166
x 1094 y 166
Plot-
x 1231 y 166
x 1231 y 166
x 1259 y 166
x 1259 y 166
x 1274 y 171
x 1274 y 171
x 1286 y 166
x 1286 y 166
x 1308 y 161
x 1308 y 161
x 1321 y 156
x 1321 y 156
x 1333 y 149
x 1333 y 149
x 1341 y 159
x 1341 y 159
x 1336 y 166
x 1336 y 166
x 1323 y 179
x 1323 y 179
x 1316 y 179
x 1316 y 179
x 1311 y 199
x 1311 y 199
x 1303 y 206
x 1303 y 206
x 1296 y 216
x 1296 y 216
x 1293 y 228
x 1293 y 228
x 1283 y 236
x 1283 y 236
x 1276 y 243
x 1276 y 243
x 1261 y 243
x 1261 y 243
x 1259 y 251
x 1259 y 251
x 1249 y 261
x 1249 y 261
x 1241 y 253
x 1241 y 253
x 1236 y 246
x 1236 y 246
x 1221 y 248
x 1221 y 248
x 1211 y 248
x 1211 y 248
x 1201 y 243
x 1201 y 243
x 1199 y 233
x 1199 y 233
x 1204 y 228
x 1204 y 228
x 1206 y 218
x 1206 y 218
x 1214 y 213
x 1214 y 213
x 1219 y 196
x 1219 y 196
x 1224 y 176
x 1224 y 176
x 1224 y 176
x 1224 y 176
Plot-
x 1109 y 204
x 1109 y 204
x 1119 y 204
x 1119 y 204
x 1129 y 199
x 1129 y 199
x 1132 y 191
x 1132 y 191
x 1139 y 196
x 1139 y 196
x 1139 y 209
x 1139 y 209
x 1142 y 218
x 1142 y 218
x 1149 y 228
x 1149 y 228
x 1162 y 231
x 1162 y 231
x 1181 y 233
x 1181 y 233
x 1189 y 236
x 1189 y 236
x 1201 y 228
x 1201 y 228
x 1201 y 238
x 1201 y 238
x 1206 y 246
x 1206 y 246
x 1224 y 248
x 1224 y 248
x 1236 y 248
x 1236 y 248
x 1244 y 258
x 1244 y 258
x 1251 y 258
x 1251 y 258
x 1259 y 258
x 1259 y 258
x 1254 y 271
x 1254 y 271
x 1246 y 288
x 1246 y 288
x 1244 y 296
x 1244 y 296
x 1251 y 306
x 1251 y 306
x 1244 y 308
x 1244 y 308
x 1231 y 308
x 1231 y 308
x 1221 y 313
x 1221 y 313
x 1229 y 325
x 1229 y 325
x 1231 y 343
x 1231 y 343
x 1216 y 348
x 1216 y 348
x 1211 y 338
x 1211 y 338
x 1206 y 348
x 1206 y 348
x 1191 y 348
x 1191 y 348
x 1186 y 338
x 1186 y 338
x 1181 y 325
x 1181 y 325
x 1176 y 320
x 1176 y 320
x 1164 y 325
x 1164 y 325
x 1152 y 318
x 1152 y 318
x 1149 y 308
x 1149 y 308
x 1142 y 296
x 1142 y 296
x 1132 y 291
x 1132 y 291
x 1124 y 283
x 1124 y 283
x 1109 y 281
x 1109 y 281
x 1107 y 268
x 1107 y 268
x 1089 y 266
x 1089 y 266
x 1082 y 261
x 1082 y 261
x 1084 y 248
x 1084 y 248
x 1097 y 243
x 1097 y 243
x 1109 y 251
x 1109 y 251
x 1117 y 258
x 1117 y 258
x 1129 y 251
x 1129 y 251
x 1129 y 243
x 1129 y 243
x 1119 y 236
x 1119 y 236
x 1109 y 231
x 1109 y 231
x 1102 y 216
x 1102 y 216
x 1102 y 199
x 1102 y 199
x 1102 y 199
x 1102 y 199
Plot-
x 1147 y 313
x 1147 y 313
x 1157 y 320
x 1157 y 320
x 1162 y 325
x 1162 y 325
x 1174 y 323
x 1174 y 323
x 1181 y 323
x 1181 y 323
x 1186 y 333
x 1186 y 333
x 1186 y 343
x 1186 y 343
x 1194 y 348
x 1194 y 348
x 1206 y 348
x 1206 y 348
x 1214 y 340
x 1214 y 340
x 1216 y 348
x 1216 y 348
x 1234 y 348
x 1234 y 348
x 1244 y 350
x 1244 y 350
x 1251 y 360
x 1251 y 360
x 1276 y 360
x 1276 y 360
x 1283 y 368
x 1283 y 368
x 1293 y 373
x 1293 y 373
x 1303 y 380
x 1303 y 380
x 1311 y 393
x 1311 y 393
x 1323 y 398
x 1323 y 398
x 1328 y 400
x 1328 y 400
x 1338 y 405
x 1338 y 405
x 1341 y 410
x 1341 y 410
x 1351 y 410
x 1351 y 410
x 1348 y 418
x 1348 y 418
x 1333 y 418
x 1333 y 418
x 1321 y 430
x 1321 y 430
x 1316 y 437
x 1316 y 437
x 1323 y 447
x 1323 y 447
x 1323 y 457
x 1323 y 457
x 1316 y 467
x 1316 y 467
x 1306 y 470
x 1306 y 470
x 1293 y 467
x 1293 y 467
x 1278 y 460
x 1278 y 460
x 1276 y 445
x 1276 y 445
x 1274 y 430
x 1274 y 430
x 1261 y 430
x 1261 y 430
x 1249 y 427
x 1249 y 427
x 1241 y 418
x 1241 y 418
x 1231 y 427
x 1231 y 427
x 1219 y 427
x 1219 y 427
x 1211 y 437
x 1211 y 437
x 1206 y 447
x 1206 y 447
x 1194 y 455
x 1194 y 455
x 1174 y 452
x 1174 y 452
x 1171 y 427
x 1171 y 427
x 1164 y 427
x 1164 y 427
x 1162 y 442
x 1162 y 442
x 1149 y 452
x 1149 y 452
x 1144 y 442
x 1144 y 442
x 1137 y 435
x 1137 y 435
x 1124 y 430
x 1124 y 430
x 1117 y 418
x 1117 y 418
x 1107 y 413
x 1107 y 413
x 1112 y 405
x 1112 y 405
x 1117 y 383
x 1117 y 383
x 1114 y 363
x 1114 y 363
x 1119 y 355
x 1119 y 355
x 1117 y 348
x 1117 y 348
x 1112 y 335
x 1112 y 335
x 1117 y 323
x 1117 y 323
x 1117 y 311
x 1117 y 311
x 1129 y 306
x 1129 y 306
x 1139 y 318
x 1139 y 318
x 1144 y 313
x 1144 y 313
x 1144 y 313
x 1144 y 313
Plot-
x 1042 y 201
x 1042 y 201
x 1057 y 201
x 1057 y 201
x 1079 y 196
x 1079 y 196
x 1087 y 191
x 1087 y 191
x 1099 y 191
x 1099 y 191
x 1102 y 206
x 1102 y 206
x 1102 y 221
x 1102 y 221
x 1114 y 233
x 1114 y 233
x 1129 y 243
x 1129 y 243
x 1127 y 251
x 1127 y 251
x 1117 y 261
x 1117 y 261
x 1109 y 248
x 1109 y 248
x 1097 y 238
x 1097 y 238
x 1084 y 246
x 1084 y 246
x 1084 y 253
x 1084 y 253
x 1089 y 266
x 1089 y 266
x 1107 y 268
x 1107 y 268
x 1107 y 278
x 1107 y 278
x 1114 y 281
x 1114 y 281
x 1127 y 283
x 1127 y 283
x 1132 y 293
x 1132 y 293
x 1144 y 296
x 1144 y 296
x 1152 y 313
x 1152 y 313
x 1144 y 313
x 1144 y 313
x 1139 y 318
x 1139 y 318
x 1129 y 306
x 1129 y 306
x 1119 y 308
x 1119 y 308
x 1119 y 323
x 1119 y 323
x 1112 y 333
x 1112 y 333
x 1119 y 355
x 1119 y 355
x 1112 y 363
x 1112 y 363
x 1114 y 380
x 1114 y 380
x 1112 y 395
x 1112 y 395
x 1107 y 413
x 1107 y 413
x 1114 y 423
x 1114 y 423
x 1124 y 435
x 1124 y 435
x 1137 y 437
x 1137 y 437
x 1144 y 447
x 1144 y 447
x 1149 y 457
x 1149 y 457
x 1144 y 472
x 1144 y 472
x 1132 y 485
x 1132 y 485
x 1119 y 497
x 1119 y 497
x 1114 y 507
x 1114 y 507
x 1102 y 502
x 1102 y 502
x 1097 y 490
x 1097 y 490
x 1094 y 507
x 1094 y 507
x 1082 y 517
x 1082 y 517
x 1077 y 532
x 1077 y 532
x 1065 y 544
x 1065 y 544
x 1052 y 547
x 1052 y 547
x 1025 y 552
x 1025 y 552
x 1015 y 569
x 1015 y 569
x 1010 y 577
x 1010 y 577
x 1002 y 564
x 1002 y 564
x 985 y 557
x 985 y 557
x 975 y 549
x 975 y 549
x 962 y 534
x 962 y 534
x 955 y 505
x 955 y 505
x 960 y 495
x 960 y 495
x 967 y 485
x 967 y 485
x 980 y 477
x 980 y 477
x 982 y 465
x 982 y 465
x 967 y 460
x 967 y 460
x 980 y 452
x 980 y 452
x 960 y 452
x 960 y 452
x 953 y 442
x 953 y 442
x 955 y 425
x 955 y 425
x 948 y 430
x 948 y 430
x 933 y 430
x 933 y 430
x 933 y 413
x 933 y 413
x 925 y 398
x 925 y 398
x 925 y 385
x 925 y 385
x 913 y 370
x 913 y 370
x 920 y 363
x 920 y 363
x 933 y 355
x 933 y 355
x 923 y 338
x 923 y 338
x 920 y 320
x 920 y 320
x 925 y 306
x 925 y 306
x 950 y 301
x 950 y 301
x 955 y 276
x 955 y 276
x 965 y 283
x 965 y 283
x 982 y 278
x 982 y 278
x 992 y 276
x 992 y 276
x 992 y 266
x 992 y 266
x 982 y 261
x 982 y 261
x 985 y 243
x 985 y 243
x 967 y 251
x 967 y 251
x 967 y 236
x 967 y 236
x 980 y 228
x 980 y 228
x 997 y 213
x 997 y 213
x 1015 y 199
x 1015 y 199
x 1022 y 191
x 1022 y 191
x 1042 y 204
x 1042 y 204
